[ 2023-06-06 15:23:55,146 ] 56 root - INFO - Initiating Data Ingestion sequence...
[ 2023-06-06 15:24:02,998 ] 71 root - INFO - Extracted 6 files as DataFrames.
[ 2023-06-06 15:24:02,998 ] 39 root - INFO - Initiating data visulaization sequence...
[ 2023-06-06 15:24:02,998 ] 40 root - INFO - Extracting categorical features.
[ 2023-06-06 15:24:05,275 ] 69 root - INFO - Plots saved as : artifacts\plots\categorical_features_plot.pdf
[ 2023-06-06 15:24:05,673 ] 85 root - INFO - Plots saved as : artifacts\plots\continous_features_plot.pdf
[ 2023-06-06 15:24:05,673 ] 84 root - INFO - Initiating data transformation sequence...
[ 2023-06-06 15:24:05,673 ] 49 root - INFO - Collecting features.
[ 2023-06-06 15:24:05,673 ] 67 root - INFO - Data transformation object extracted.
[ 2023-06-06 15:24:05,684 ] 93 root - INFO - Applying preprocessing object on training dataframe
[ 2023-06-06 15:24:05,698 ] 98 root - INFO - Data transformed successfully
[ 2023-06-06 15:24:11,534 ] 105 root - INFO - Transformed data saved as .xlsx @ [artifacts/data/transformed_churn.xlsx]
[ 2023-06-06 15:24:11,549 ] 77 root - INFO - Splitting train/val datasets into X and Y inputs.
[ 2023-06-06 15:24:11,549 ] 83 root - INFO - Initialising model building process...
[ 2023-06-06 15:24:11,549 ] 52 root - INFO - Evaluating models.
[ 2023-06-06 15:24:11,549 ] 66 root - INFO - Implementing GridSearchCV() to find the version of Logistic Regression
[ 2023-06-06 15:24:37,222 ] 76 root - INFO - Printing classification reports for Logistic Regression
[ 2023-06-06 15:24:37,236 ] 93 root - INFO - All models successfully evaluated and the best versions of each are selected.
