iter	Passed	Remaining
0	8	237
1	17	248
2	25	231
3	33	217
4	41	209
5	51	204
6	59	196
7	69	190
8	77	181
9	85	171
10	93	161
11	97	145
12	104	136
13	111	127
14	119	119
15	126	110
16	133	102
17	141	94
18	148	85
19	155	77
20	162	69
21	169	61
22	176	53
23	183	45
24	190	38
25	197	30
26	205	22
27	214	15
28	222	7
29	230	0
